Analysis id 1020	Biotype 1020	Stable id 1023
2	protein_coding	OTTHUMG00000133123
2	processed_transcript	OTTHUMG00000132706
2	protein_coding	OTTHUMG00000132741
2	protein_coding	OTTHUMG00000164417
2	protein_coding	OTTHUMG00000164418
2	protein_coding	OTTHUMG00000133120
2	protein_coding	OTTHUMG00000132251
2	processed_transcript	OTTHUMG00000132691
2	protein_coding	OTTHUMG00000132343
2	protein_coding	OTTHUMG00000133122
2	protein_coding	OTTHUMG00000133124
2	protein_coding	OTTHUMG00000133119
2	protein_coding	OTTHUMG00000132347
2	protein_coding	OTTHUMG00000133118
2	processed_pseudogene	OTTHUMG00000157838
2	protein_coding	OTTHUMG00000133182
2	processed_transcript	OTTHUMG00000133184
2	protein_coding	OTTHUMG00000133183
2	protein_coding	OTTHUMG00000133217
2	protein_coding	OTTHUMG00000133212
2	protein_coding	OTTHUMG00000133216
2	protein_coding	OTTHUMG00000133214
2	protein_coding	OTTHUMG00000133211
2	protein_coding	OTTHUMG00000132690
2	protein_coding	OTTHUMG00000133210
2	protein_coding	OTTHUMG00000133213
2	protein_coding	OTTHUMG00000133215
2	protein_coding	OTTHUMG00000133209
2	protein_coding	OTTHUMG00000133252
2	protein_coding	OTTHUMG00000133253
2	protein_coding	OTTHUMG00000133250
2	processed_pseudogene	OTTHUMG00000132688
2	protein_coding	OTTHUMG00000133022
2	protein_coding	OTTHUMG00000133248
2	protein_coding	OTTHUMG00000133249
2	protein_coding	OTTHUMG00000133251
2	protein_coding	OTTHUMG00000133247
2	protein_coding	OTTHUMG00000133329
2	protein_coding	OTTHUMG00000133332
2	protein_coding	OTTHUMG00000133327
2	protein_coding	OTTHUMG00000133323
2	protein_coding	OTTHUMG00000133325
2	protein_coding	OTTHUMG00000133331
2	protein_coding	OTTHUMG00000133324
2	protein_coding	OTTHUMG00000133328
2	protein_coding	OTTHUMG00000155008
2	processed_pseudogene	OTTHUMG00000157840
2	protein_coding	OTTHUMG00000133326
2	protein_coding	OTTHUMG00000133330
2	protein_coding	OTTHUMG00000133375
2	protein_coding	OTTHUMG00000133367
2	protein_coding	OTTHUMG00000133374
2	unprocessed_pseudogene	OTTHUMG00000137366
2	protein_coding	OTTHUMG00000133372
2	transcribed_unprocessed_pseudogene	OTTHUMG00000133585
2	protein_coding	OTTHUMG00000133373
2	protein_coding	OTTHUMG00000133370
2	protein_coding	OTTHUMG00000133371
2	protein_coding	OTTHUMG00000133365
2	protein_coding	OTTHUMG00000133368
2	protein_coding	OTTHUMG00000133579
2	protein_coding	OTTHUMG00000133369
2	protein_coding	OTTHUMG00000133366
2	processed_transcript	OTTHUMG00000133678
2	protein_coding	OTTHUMG00000133376
2	protein_coding	OTTHUMG00000133424
2	protein_coding	OTTHUMG00000133596
2	protein_coding	OTTHUMG00000133591
2	protein_coding	OTTHUMG00000133581
2	unprocessed_pseudogene	OTTHUMG00000133637
2	protein_coding	OTTHUMG00000133595
2	protein_coding	OTTHUMG00000133587
2	protein_coding	OTTHUMG00000133631
2	protein_coding	OTTHUMG00000133583
2	protein_coding	OTTHUMG00000133592
2	protein_coding	OTTHUMG00000133589
2	protein_coding	OTTHUMG00000133593
2	protein_coding	OTTHUMG00000133655
