VEGA gene ID	Pathway stable ID
OTTHUMG00000151673	REACT_953
OTTHUMG00000151673	REACT_1913
OTTHUMG00000151673	REACT_2204
OTTHUMG00000151673	REACT_1974
OTTHUMG00000151673	REACT_1074
OTTHUMG00000151673	REACT_1309
OTTHUMG00000151673	REACT_1788
OTTHUMG00000151673	REACT_21352
OTTHUMG00000090425	REACT_11061
OTTHUMG00000090425	REACT_9417
OTTHUMG00000090425	REACT_13443
OTTHUMG00000090425	REACT_13776
OTTHUMG00000090415	REACT_467
OTTHUMG00000090415	REACT_1735
OTTHUMG00000090415	REACT_1849
OTTHUMG00000090415	REACT_1281
OTTHUMG00000090415	REACT_125
OTTHUMG00000090415	REACT_894
OTTHUMG00000090415	REACT_1366
OTTHUMG00000090415	REACT_1788
OTTHUMG00000090415	REACT_71
OTTHUMG00000090415	REACT_1768
OTTHUMG00000090415	REACT_1675
OTTHUMG00000090415	REACT_2039
OTTHUMG00000090415	REACT_78
OTTHUMG00000090415	REACT_1096
OTTHUMG00000090415	REACT_387
OTTHUMG00000090415	REACT_397
OTTHUMG00000090415	REACT_717
OTTHUMG00000090415	REACT_1835
OTTHUMG00000090415	REACT_338
OTTHUMG00000151658	REACT_11061
OTTHUMG00000151658	REACT_12005
OTTHUMG00000151658	REACT_12002
OTTHUMG00000151658	REACT_12056
OTTHUMG00000151658	REACT_12058
OTTHUMG00000090305	REACT_2159
OTTHUMG00000090305	REACT_1979
OTTHUMG00000090305	REACT_1258
OTTHUMG00000090305	REACT_1797
OTTHUMG00000090305	REACT_1079
OTTHUMG00000090305	REACT_931
OTTHUMG00000090305	REACT_2085
OTTHUMG00000090305	REACT_2099
OTTHUMG00000090305	REACT_1986
OTTHUMG00000090305	REACT_1014
OTTHUMG00000090305	REACT_71
OTTHUMG00000090305	REACT_79
OTTHUMG00000090305	REACT_1477
OTTHUMG00000090305	REACT_1404
OTTHUMG00000090305	REACT_1762
OTTHUMG00000090305	REACT_6167
OTTHUMG00000090305	REACT_6145
OTTHUMG00000090305	REACT_6152
OTTHUMG00000090305	REACT_13698
OTTHUMG00000090305	REACT_9491
OTTHUMG00000090305	REACT_13819
OTTHUMG00000090305	REACT_15550
OTTHUMG00000090305	REACT_15380
OTTHUMG00000090305	REACT_17015
OTTHUMG00000040378	REACT_14797
OTTHUMG00000040378	REACT_15488
OTTHUMG00000040378	REACT_19184
OTTHUMG00000040376	REACT_14797
OTTHUMG00000040376	REACT_15488
OTTHUMG00000040376	REACT_19184
OTTHUMG00000040380	REACT_14797
OTTHUMG00000040380	REACT_15488
OTTHUMG00000040380	REACT_19184
OTTHUMG00000040384	REACT_14797
OTTHUMG00000040384	REACT_15488
OTTHUMG00000040384	REACT_19184
OTTHUMG00000040388	REACT_14797
OTTHUMG00000040388	REACT_15488
OTTHUMG00000040388	REACT_19184
OTTHUMG00000040387	REACT_14797
OTTHUMG00000040387	REACT_15488
OTTHUMG00000040387	REACT_19184
OTTHUMG00000040382	REACT_14797
OTTHUMG00000040382	REACT_15488
OTTHUMG00000040382	REACT_19184
OTTHUMG00000040462	REACT_14797
OTTHUMG00000040462	REACT_15488
OTTHUMG00000040462	REACT_19184
OTTHUMG00000040481	REACT_14797
OTTHUMG00000040481	REACT_15488
OTTHUMG00000040481	REACT_19184
OTTHUMG00000040452	REACT_14797
OTTHUMG00000040452	REACT_15488
OTTHUMG00000040452	REACT_19184
OTTHUMG00000040480	REACT_14797
OTTHUMG00000040480	REACT_15488
OTTHUMG00000040480	REACT_19184
OTTHUMG00000040450	REACT_14797
OTTHUMG00000040450	REACT_15488
OTTHUMG00000040450	REACT_19184
